order_id,customer_id,restaurant_id,dish,staff_id,city,order_date,quantity,price,discount,total_amount,profit,loss,frequency,last_order_days,churn,rating
ORDER_1,CUST_82,REST_2,Biryani,STAFF_9,Hyderabad,2025-01-23,2,PKR 385,PKR 0.0,PKR 770.0,PKR 233.32,PKR 68.7,14,37,1,1
ORDER_2,CUST_4,REST_2,Pasta,STAFF_8,Multan,2025-04-18,5,PKR 154,PKR 0.05,PKR 731.5,PKR 230.28,PKR 51.3,15,14,0,5
ORDER_3,CUST_36,REST_1,Pizza,STAFF_14,Sukkur,2025-01-24,3,PKR 418,PKR 0.05,PKR 1191.3,PKR 461.23,PKR 40.1,4,24,0,3
ORDER_4,CUST_45,REST_10,Karahi,STAFF_2,Lahore,2025-04-03,5,PKR 355,PKR 0.15,PKR 1508.75,PKR 186.54,PKR 44.23,7,36,1,1
ORDER_5,CUST_6,REST_4,Karahi,STAFF_3,Hyderabad,2025-02-11,1,PKR 878,PKR 0.1,PKR 790.2,PKR 186.51,PKR 65.91,12,23,0,2
ORDER_6,CUST_86,REST_5,Burger,STAFF_20,Hyderabad,2025-05-23,5,PKR 1593,PKR 0.05,PKR 7566.75,PKR 1127.6,PKR 287.12,11,14,0,1
ORDER_7,CUST_30,REST_1,Sandwich,STAFF_13,Sukkur,2025-04-28,1,PKR 532,PKR 0.1,PKR 478.8,PKR 78.42,PKR 23.9,9,9,0,2
ORDER_8,CUST_32,REST_9,Karahi,STAFF_19,Lahore,2025-05-11,5,PKR 917,PKR 0.1,PKR 4126.5,PKR 684.16,PKR 411.63,3,31,1,1
ORDER_9,CUST_15,REST_3,Pizza,STAFF_14,Multan,2025-03-06,1,PKR 888,PKR 0.15,PKR 754.8,PKR 210.41,PKR 35.33,1,35,1,1
ORDER_10,CUST_88,REST_9,Karahi,STAFF_11,Karachi,2025-03-09,3,PKR 990,PKR 0.05,PKR 2821.5,PKR 666.2,PKR 269.12,6,32,1,5
ORDER_11,CUST_14,REST_5,Pasta,STAFF_5,Sukkur,2025-01-29,2,PKR 1204,PKR 0.0,PKR 2408.0,PKR 673.48,PKR 117.66,12,59,1,3
ORDER_12,CUST_31,REST_1,Pasta,STAFF_19,Karachi,2025-05-17,1,PKR 1598,PKR 0.15,PKR 1358.3,PKR 468.35,PKR 132.84,5,49,1,2
ORDER_13,CUST_85,REST_8,Pizza,STAFF_9,Multan,2025-02-21,5,PKR 966,PKR 0.05,PKR 4588.5,PKR 1737.55,PKR 346.55,10,45,1,4
ORDER_14,CUST_86,REST_6,BBQ Platter,STAFF_17,Lahore,2025-05-22,1,PKR 607,PKR 0.05,PKR 576.65,PKR 68.74,PKR 1.21,19,14,0,2
ORDER_15,CUST_1,REST_2,Biryani,STAFF_8,Karachi,2025-05-05,1,PKR 1860,PKR 0.1,PKR 1674.0,PKR 202.98,PKR 39.84,18,13,0,2
ORDER_16,CUST_93,REST_10,BBQ Platter,STAFF_8,Lahore,2025-04-19,4,PKR 489,PKR 0.0,PKR 1956.0,PKR 252.48,PKR 84.31,15,26,0,1
ORDER_17,CUST_87,REST_2,Biryani,STAFF_13,Sukkur,2025-04-19,1,PKR 609,PKR 0.05,PKR 578.55,PKR 90.87,PKR 25.95,9,11,0,4
ORDER_18,CUST_32,REST_2,BBQ Platter,STAFF_18,Karachi,2025-03-02,1,PKR 1435,PKR 0.0,PKR 1435.0,PKR 560.65,PKR 132.93,14,10,0,4
ORDER_19,CUST_62,REST_4,Fries,STAFF_2,Hyderabad,2025-04-27,4,PKR 104,PKR 0.15,PKR 353.6,PKR 63.49,PKR 27.72,14,18,0,5
ORDER_20,CUST_85,REST_8,Pizza,STAFF_7,Sukkur,2025-05-30,2,PKR 219,PKR 0.0,PKR 438.0,PKR 142.08,PKR 2.5,17,30,0,5
ORDER_21,CUST_21,REST_1,Burger,STAFF_6,Karachi,2025-05-26,5,PKR 239,PKR 0.05,PKR 1135.25,PKR 251.04,PKR 106.89,19,15,0,5
ORDER_22,CUST_6,REST_10,Burger,STAFF_14,Multan,2025-03-22,5,PKR 1170,PKR 0.1,PKR 5265.0,PKR 2002.87,PKR 107.54,9,15,0,4
ORDER_23,CUST_17,REST_5,BBQ Platter,STAFF_11,Karachi,2025-03-09,1,PKR 1038,PKR 0.0,PKR 1038.0,PKR 126.61,PKR 22.13,12,8,0,1
ORDER_24,CUST_32,REST_6,Karahi,STAFF_6,Lahore,2025-05-16,5,PKR 1540,PKR 0.1,PKR 6930.0,PKR 1964.68,PKR 684.15,18,0,0,3
ORDER_25,CUST_85,REST_2,Pizza,STAFF_9,Karachi,2025-03-29,1,PKR 1620,PKR 0.05,PKR 1539.0,PKR 279.64,PKR 93.08,9,13,0,5
ORDER_26,CUST_63,REST_5,Biryani,STAFF_3,Lahore,2025-03-09,3,PKR 190,PKR 0.0,PKR 570.0,PKR 114.04,PKR 7.46,15,10,0,5
ORDER_27,CUST_91,REST_7,Biryani,STAFF_4,Karachi,2025-02-07,2,PKR 1217,PKR 0.0,PKR 2434.0,PKR 852.82,PKR 141.78,5,27,0,1
ORDER_28,CUST_40,REST_6,Biryani,STAFF_12,Hyderabad,2025-04-15,2,PKR 1465,PKR 0.0,PKR 2930.0,PKR 603.88,PKR 164.05,5,39,1,2
